,close,Company,Date
74962,64.260002,VRSK,2015-01-29
74963,64.349998,VRSK,2015-01-30
74964,64.870003,VRSK,2015-02-02
74965,65.739998,VRSK,2015-02-03
74966,65.75,VRSK,2015-02-04
74967,66.769997,VRSK,2015-02-05
74968,65.959999,VRSK,2015-02-06
74969,65.970001,VRSK,2015-02-09
74970,66.080002,VRSK,2015-02-10
74971,66.459999,VRSK,2015-02-11
74972,67.440002,VRSK,2015-02-12
74973,67.900002,VRSK,2015-02-13
74974,67.559998,VRSK,2015-02-17
74975,67.690002,VRSK,2015-02-18
74976,67.510002,VRSK,2015-02-19
74977,67.800003,VRSK,2015-02-20
74978,67.800003,VRSK,2015-02-23
74979,67.910004,VRSK,2015-02-24
74980,72.18,VRSK,2015-02-25
74981,72.269997,VRSK,2015-02-26
74982,71.809998,VRSK,2015-02-27
74983,71.870003,VRSK,2015-03-02
74984,71.599998,VRSK,2015-03-03
74985,70.690002,VRSK,2015-03-04
74986,71.089996,VRSK,2015-03-05
74987,70.660004,VRSK,2015-03-06
74988,71.360001,VRSK,2015-03-09
74989,68.540001,VRSK,2015-03-10
74990,69.779999,VRSK,2015-03-11
74991,71.0,VRSK,2015-03-12
74992,71.230003,VRSK,2015-03-13
74993,71.639999,VRSK,2015-03-16
74994,71.709999,VRSK,2015-03-17
74995,71.75,VRSK,2015-03-18
74996,71.550003,VRSK,2015-03-19
74997,71.5,VRSK,2015-03-20
74998,71.110001,VRSK,2015-03-23
74999,70.639999,VRSK,2015-03-24
75000,69.760002,VRSK,2015-03-25
75001,69.839996,VRSK,2015-03-26
75002,70.480003,VRSK,2015-03-27
75003,71.160004,VRSK,2015-03-30
75004,71.400002,VRSK,2015-03-31
75005,75.300003,VRSK,2016-01-04
75006,75.029999,VRSK,2016-01-05
75007,74.639999,VRSK,2016-01-06
75008,73.040001,VRSK,2016-01-07
75009,73.370003,VRSK,2016-01-08
75010,74.040001,VRSK,2016-01-11
75011,74.529999,VRSK,2016-01-12
75012,71.889999,VRSK,2016-01-13
75013,72.349998,VRSK,2016-01-14
75014,72.059998,VRSK,2016-01-15
75015,71.529999,VRSK,2016-01-19
75016,70.970001,VRSK,2016-01-20
75017,39.849998,VRSN,2013-01-02
75018,40.029999,VRSN,2013-01-03
75019,40.040001,VRSN,2013-01-04
75020,40.060001,VRSN,2013-01-07
75021,39.889999,VRSN,2013-01-08
75022,39.560001,VRSN,2013-01-09
75023,38.869999,VRSN,2013-01-10
75024,38.0,VRSN,2013-01-11
75025,38.380001,VRSN,2013-01-14
75026,39.360001,VRSN,2013-01-15
75027,39.25,VRSN,2013-01-16
75028,39.41,VRSN,2013-01-17
75029,39.549999,VRSN,2013-01-18
75030,39.700001,VRSN,2013-01-22
75031,39.869999,VRSN,2013-01-23
75032,39.990002,VRSN,2013-01-24
75033,42.959999,VRSN,2013-01-25
75034,42.880001,VRSN,2013-01-28
75035,42.799999,VRSN,2013-01-29
75036,43.169998,VRSN,2013-01-30
75037,43.41,VRSN,2013-01-31
75038,44.34,VRSN,2013-02-01
75039,44.610001,VRSN,2013-02-04
75040,45.09,VRSN,2013-02-05
75041,44.93,VRSN,2013-02-06
75042,44.98,VRSN,2013-02-07
75043,45.389999,VRSN,2013-02-08
75044,45.66,VRSN,2013-02-11
75045,45.529999,VRSN,2013-02-12
75046,45.580002,VRSN,2013-02-13
75047,45.669998,VRSN,2013-02-14
75048,46.139999,VRSN,2013-02-15
75049,46.220001,VRSN,2013-02-19
75050,45.619999,VRSN,2013-02-20
75051,45.299999,VRSN,2013-02-21
75052,45.799999,VRSN,2013-02-22
75053,44.880001,VRSN,2013-02-25
75054,44.779999,VRSN,2013-02-26
75055,45.32,VRSN,2013-02-27
75056,45.810001,VRSN,2013-02-28
75057,46.169998,VRSN,2013-03-01
75058,46.41,VRSN,2013-03-04
75059,46.580002,VRSN,2013-03-05
75060,46.630001,VRSN,2013-03-06
75061,46.41,VRSN,2013-03-07
75062,46.779999,VRSN,2013-03-08
75063,46.849998,VRSN,2013-03-11
75064,46.41,VRSN,2013-03-12
75065,46.299999,VRSN,2013-03-13
75066,45.759998,VRSN,2013-03-14
75067,45.650002,VRSN,2013-03-15
75068,45.23,VRSN,2013-03-18
75069,45.34,VRSN,2013-03-19
75070,45.98,VRSN,2013-03-20
75071,45.619999,VRSN,2013-03-21
75072,46.360001,VRSN,2013-03-22
75073,46.32,VRSN,2013-03-25
75074,46.77,VRSN,2013-03-26
75075,47.119999,VRSN,2013-03-27
75076,47.27,VRSN,2013-03-28
75077,60.02,VRSN,2014-01-02
75078,59.84,VRSN,2014-01-03
75079,59.459999,VRSN,2014-01-06
75080,61.139999,VRSN,2014-01-07
75081,61.240002,VRSN,2014-01-08
75082,60.98,VRSN,2014-01-09
75083,61.459999,VRSN,2014-01-10
75084,60.330002,VRSN,2014-01-13
75085,61.529999,VRSN,2014-01-14
75086,62.610001,VRSN,2014-01-15
75087,61.619999,VRSN,2014-01-16
75088,61.889999,VRSN,2014-01-17
75089,61.959999,VRSN,2014-01-21
75090,62.209999,VRSN,2014-01-22
75091,62.470001,VRSN,2014-01-23
75092,60.369999,VRSN,2014-01-24
75093,59.380001,VRSN,2014-01-27
75094,59.599998,VRSN,2014-01-28
75095,59.009998,VRSN,2014-01-29
75096,59.439999,VRSN,2014-01-30
75097,58.75,VRSN,2014-01-31
75098,56.279999,VRSN,2014-02-03
75099,56.099998,VRSN,2014-02-04
75100,55.52,VRSN,2014-02-05
75101,55.419998,VRSN,2014-02-06
75102,52.68,VRSN,2014-02-07
75103,53.869999,VRSN,2014-02-10
75104,53.959999,VRSN,2014-02-11
75105,54.080002,VRSN,2014-02-12
75106,54.419998,VRSN,2014-02-13
75107,54.52,VRSN,2014-02-14
75108,55.509998,VRSN,2014-02-18
75109,55.240002,VRSN,2014-02-19
75110,55.700001,VRSN,2014-02-20
75111,54.990002,VRSN,2014-02-21
75112,54.720001,VRSN,2014-02-24
75113,55.040001,VRSN,2014-02-25
75114,55.029999,VRSN,2014-02-26
75115,55.23,VRSN,2014-02-27
75116,55.110001,VRSN,2014-02-28
75117,55.189999,VRSN,2014-03-03
75118,56.220001,VRSN,2014-03-04
75119,56.220001,VRSN,2014-03-05
75120,56.169998,VRSN,2014-03-06
75121,55.880001,VRSN,2014-03-07
75122,55.150002,VRSN,2014-03-10
75123,54.709999,VRSN,2014-03-11
75124,54.599998,VRSN,2014-03-12
75125,54.349998,VRSN,2014-03-13
75126,54.849998,VRSN,2014-03-14
75127,51.68,VRSN,2014-03-17
75128,52.41,VRSN,2014-03-18
75129,52.700001,VRSN,2014-03-19
75130,52.41,VRSN,2014-03-20
75131,52.779999,VRSN,2014-03-21
75132,52.220001,VRSN,2014-03-24
75133,52.490002,VRSN,2014-03-25
75134,53.259998,VRSN,2014-03-26
75135,53.32,VRSN,2014-03-27
75136,53.490002,VRSN,2014-03-28
75137,53.91,VRSN,2014-03-31
75138,57.189999,VRSN,2015-01-02
75139,56.240002,VRSN,2015-01-05
75140,55.18,VRSN,2015-01-06
75141,55.639999,VRSN,2015-01-07
75142,56.880001,VRSN,2015-01-08
75143,57.34,VRSN,2015-01-09
75144,56.77,VRSN,2015-01-12
75145,56.810001,VRSN,2015-01-13
75146,56.27,VRSN,2015-01-14
75147,55.57,VRSN,2015-01-15
75148,56.66,VRSN,2015-01-16
75149,56.16,VRSN,2015-01-20
75150,56.369999,VRSN,2015-01-21
75151,56.200001,VRSN,2015-01-22
75152,56.810001,VRSN,2015-01-23
75153,55.810001,VRSN,2015-01-26
75154,54.849998,VRSN,2015-01-27
75155,54.299999,VRSN,2015-01-28
75156,54.689999,VRSN,2015-01-29
75157,54.48,VRSN,2015-01-30
75158,55.209999,VRSN,2015-02-02
